arm,step,reward,entropy,kl,step_seconds
fullft,0,0.10468749999999999,0.44923293590545654,0.0003334147040732205,180.32679593807552
fullft,1,0.23593749999999997,0.3846690356731415,0.0006017421837896109,44.713246750994585
fullft,2,0.31562499999999993,0.4133809804916382,0.0007658143877051771,44.34413487405982
fullft,3,0.4140625,0.38523271679878235,0.0006288319127634168,42.48189164698124
fullft,4,0.5562499999999999,0.3486374616622925,0.0005159016000106931,42.23983669106383
fullft,5,0.38593749999999993,0.4127824902534485,0.0010515792528167367,41.059387882007286
fullft,6,0.28281249999999997,0.3941328823566437,0.0004309701034799218,42.16972096101381
fullft,7,0.5671875000000001,0.35650429129600525,0.000619179685600102,40.48317932197824
fullft,8,0.50625,0.3930354416370392,0.00045447307638823986,41.23767017794307
fullft,9,0.5078125,0.3510461151599884,0.0006429877248592675,39.99820874701254
fullft,10,0.653125,0.39087778329849243,0.000741582945920527,41.265288551920094
fullft,11,0.25,0.39053604006767273,0.0006773361819796264,45.035062100039795
fullft,12,0.64375,0.35221439599990845,0.0007896709721535444,39.136205659015104
fullft,13,0.4359375,0.415765643119812,0.0007106125704012811,47.18884229299147
fullft,14,0.540625,0.3845340609550476,0.0005660394090227783,40.67895184701774
fullft,15,0.7015625,0.2852935791015625,0.0006412504008039832,42.41873226000462
fullft,16,0.5359375,0.4128451943397522,0.0009618931799195707,39.653353690053336
fullft,17,0.6796875,0.33699795603752136,0.0003843263257294893,37.179620358976535
fullft,18,0.55,0.40115758776664734,0.000788580859079957,37.43614228302613
fullft,19,0.41093749999999996,0.3486747443675995,0.0009179242770187557,38.73870984301902
fullft,20,0.7328125,0.36369526386260986,0.0007267344044521451,36.83569352095947
fullft,21,0.7328125,0.25527963042259216,0.00014557121903635561,36.94064905401319
fullft,22,0.7171875,0.36063435673713684,0.0006735456408932805,37.37279003497679
fullft,23,0.6703125,0.2781200408935547,0.0002906177833210677,37.72222657094244
fullft,24,0.490625,0.3200046718120575,0.0007607578882016242,38.7857812109869
fullft,25,0.73125,0.31643053889274597,0.0005741395871154964,38.22159171907697
fullft,26,0.7171875,0.35236188769340515,0.000958440185058862,36.60339288902469
fullft,27,0.840625,0.2606787383556366,0.0007356348214671016,34.97850020008627
fullft,28,0.7296875,0.26496970653533936,0.00047958630602806807,38.783026114921086
fullft,29,0.5453125,0.37707021832466125,0.000743489246815443,40.288507063058205
fullft,30,0.6468750000000001,0.2915562391281128,0.000778313959017396,37.43785275600385
fullft,31,0.7625,0.2936258316040039,0.00046477638534270227,38.27327471203171
fullft,32,0.48125,0.3363790512084961,0.00021922713494859636,37.686675350996666
fullft,33,0.859375,0.30757978558540344,0.0003963366034440696,40.15959257702343
fullft,34,0.5046875000000001,0.4001920223236084,0.0008652287651784718,39.27186205703765
fullft,35,0.7093750000000001,0.32742488384246826,0.0009053481626324356,36.829668377991766
fullft,36,0.746875,0.30914291739463806,0.0004889426054432988,37.33972057304345
fullft,37,0.565625,0.310027539730072,0.00031672953628003597,40.075297741102986
fullft,38,0.9046875,0.24973061680793762,0.0008653450640849769,36.48413185402751
fullft,39,0.6921875,0.4144427478313446,0.0006987935048528016,38.295004512998275
fullft,40,0.621875,0.26769065856933594,0.0006397934630513191,38.248510836972855
fullft,41,0.659375,0.36211302876472473,0.0006611155113205314,37.021405557054095
fullft,42,0.34375,0.44432342052459717,7.259674748638645e-05,38.24142099590972
fullft,43,0.65,0.30711331963539124,0.0007967872661538422,37.47284413699526
fullft,44,0.71875,0.29128214716911316,0.0004820591420866549,40.66679413698148
fullft,45,0.9359375,0.26989349722862244,0.0003030687221325934,36.98061077296734
fullft,46,0.7171875,0.2598721981048584,0.00033523235470056534,37.51989109197166
fullft,47,0.7484375,0.2627905011177063,0.00019587214046623558,36.668874655035324
fullft,48,0.7609375,0.3000604510307312,0.0004858215106651187,36.177266377955675
fullft,49,0.875,0.2620891332626343,0.00048496993258595467,35.680151292006485
lora-r1,0,0.15312499999999998,0.4457322955131531,0.00045687510282732546,258.64962207106873
lora-r1,1,0.20312499999999994,0.38578423857688904,0.0006354397046379745,82.76521905104164
lora-r1,2,0.24687499999999996,0.4262981712818146,0.0007953838212415576,85.34733896807302
lora-r1,3,0.30937499999999996,0.4321514070034027,0.001178489881567657,84.59397765400354
lora-r1,4,0.4453125,0.3630971908569336,0.0004851857083849609,85.69806999305729
lora-r1,5,0.2671875,0.42726606130599976,0.0007088275160640478,85.08319532102905
lora-r1,6,0.18124999999999997,0.43487611413002014,0.0007968180580064654,85.6035907510668
lora-r1,7,0.5109375,0.3805651366710663,0.0004483554803300649,85.81843783298973
lora-r1,8,0.3625,0.4433753490447998,0.0006146252271719277,84.54328373004682
lora-r1,9,0.42500000000000004,0.40183553099632263,0.0007473381119780242,85.29821831197478
lora-r1,10,0.496875,0.4212605655193329,0.0008557987166568637,85.36854542407673
lora-r1,11,0.30156249999999996,0.4411107003688812,0.0007910145213827491,85.6543923219433
lora-r1,12,0.590625,0.41804689168930054,0.0007882077479735017,85.26233529299498
lora-r1,13,0.3765625,0.4590068459510803,0.00034015809069387615,85.40236443397589
lora-r1,14,0.42500000000000004,0.4268891215324402,0.0008588260971009731,85.43313711299561
lora-r1,15,0.7484375,0.3358941078186035,0.00018347201694268733,85.01258576707914
lora-r1,16,0.621875,0.4176667034626007,0.00079784553963691,85.63834046607371
lora-r1,17,0.7484375,0.3823312520980835,0.0007385144708678126,85.12959464394953
lora-r1,18,0.66875,0.43510493636131287,0.0007270848145708442,85.32911907299422
lora-r1,19,0.5125,0.37664854526519775,0.00041566623258404434,85.16559693205636
lora-r1,20,0.815625,0.3547712564468384,0.0007863235077820718,86.23116682295222
lora-r1,21,0.8796875,0.30765724182128906,0.0004565704439301044,85.26927477505524
lora-r1,22,0.69375,0.3668152391910553,0.001078209257684648,83.80795308505185
lora-r1,23,0.709375,0.29977184534072876,0.0007537873461842537,85.40751181100495
lora-r1,24,0.5390625,0.3467196822166443,0.0010725571773946285,85.74117675493471
lora-r1,25,0.8203125,0.3400838375091553,0.0010721158469095826,84.7449542110553
lora-r1,26,0.76875,0.39097365736961365,0.001047236961312592,84.89089954900555
lora-r1,27,0.9,0.3210943341255188,0.0005432823090814054,82.42296975397039
lora-r1,28,0.684375,0.2911316752433777,0.00037617317866533995,83.69227707397658
lora-r1,29,0.6031249999999999,0.3434396982192993,0.0008485731086693704,84.71100333996583
lora-r1,30,0.625,0.34232237935066223,0.0006022973684594035,83.95660667994525
