run,group,config,replicate,step,reward,entropy,kl,step_seconds,format,correct,ac_tokens_per_turn,frac_all_bad,grad_norm,time/compute_delta_diff,time/total
large-fft-a,large,fullft,a,0,0.015625,0.16124247014522552,0.0006839711568318307,487.1727299509803,0.0625,0.109375,505.78125,0.5,8896.0,4.768051058985293,487.1727299509803
large-fft-a,large,fullft,a,1,0.11562499999999999,0.22059518098831177,0.0003797562967520207,152.16099624102935,0.125,0.203125,501.796875,0.375,8704.0,2.5361494929529727,152.16099624102935
large-fft-a,large,fullft,a,2,0.18749999999999994,0.2033749371767044,0.0002643148764036596,181.09603070805315,0.21875,0.265625,490.1875,0.25,9664.0,2.2151209550211206,181.09603070805315
large-fft-a,large,fullft,a,3,0.5484374999999999,0.18114711344242096,0.000956705363932997,131.74287335493136,0.546875,0.59375,429.84375,0.25,7648.0,2.021475106012076,131.74287335493136
large-fft-a,large,fullft,a,4,0.7593749999999999,0.13072824478149414,0.0005094363004900515,96.86392857506871,0.78125,0.78125,388.4375,0.125,6880.0,1.9161025689681992,96.86392857506871
large-fft-a,large,fullft,a,5,0.6171875,0.1536369025707245,0.000722925178706646,133.6237477660179,0.609375,0.65625,436.3125,0.125,8512.0,1.8518381289904937,133.6237477660179
large-fft-a,large,fullft,a,6,0.7875,0.14657947421073914,0.0006485302583314478,173.8055720309494,0.75,0.8125,387.328125,0.125,4448.0,1.8659624060383067,173.8055720309494
large-fft-a,large,fullft,a,7,0.775,0.1568300724029541,0.0005223737098276615,157.76025951700285,0.78125,0.796875,378.296875,0.0,6400.0,1.7465522930724546,157.76025951700285
large-fft-a,large,fullft,a,8,0.859375,0.14266544580459595,0.0008859839290380478,150.6143890140811,0.84375,0.875,350.828125,0.0,5600.0,1.6580586490454152,150.6143890140811
large-fft-a,large,fullft,a,9,0.8359375,0.11414708942174911,0.0006664501852355897,151.53791014500894,0.921875,0.84375,361.65625,0.125,4608.0,1.6331219779094681,151.53791014500894
large-fft-a,large,fullft,a,10,0.7828125,0.1460859328508377,0.000324951863149181,131.62984394805972,0.703125,0.8125,397.28125,0.125,5824.0,1.6339908010559157,131.62984394805972
large-fft-a,large,fullft,a,11,0.5843750000000001,0.13969992101192474,0.0006700863013975322,91.29308850003872,0.59375,0.625,414.140625,0.125,6752.0,1.6554035510635003,91.29308850003872
large-fft-a,large,fullft,a,12,0.9437500000000001,0.10767044872045517,0.0003735875943675637,73.53235396998934,0.90625,0.953125,332.421875,0.0,4768.0,1.5992735209874809,73.53235396998934
large-fft-a,large,fullft,a,13,0.6234375,0.17432288825511932,0.0006647499976679683,96.86508102796506,0.515625,0.671875,432.421875,0.125,7264.0,1.629203562042676,96.86508102796506
large-fft-a,large,fullft,a,14,0.8187500000000001,0.17883090674877167,0.0002161226439056918,82.31450596498325,0.75,0.84375,361.53125,0.0,7520.0,1.6332570069935173,82.31450596498325
large-fft-a,large,fullft,a,15,1.0,0.10326080769300461,0.0002780701615847647,93.25446269998793,1.0,1.0,284.859375,0.0,0.0,1.5705371689982712,93.25446269998793
large-fft-a,large,fullft,a,16,0.8734375000000001,0.15018387138843536,0.0004301869194023311,134.24209701200016,0.828125,0.890625,319.625,0.0,3232.0,1.5177331980085,134.24209701200016
large-fft-a,large,fullft,a,17,0.946875,0.12712924182415009,0.00045602256432175636,113.39914833207149,0.9375,0.953125,298.140625,0.0,6016.0,1.5589154440676793,113.39914833207149
large-fft-a,large,fullft,a,18,0.971875,0.12959608435630798,0.0006207867991179228,126.19737717905082,0.875,0.984375,278.890625,0.0,3120.0,1.5304673169739544,126.19737717905082
large-fft-a,large,fullft,a,19,0.9328125,0.12921708822250366,0.0005103555740788579,123.07031961006578,0.796875,0.953125,354.796875,0.0,4640.0,1.5386536360019818,123.07031961006578
large-fft-a,large,fullft,a,20,1.0,0.11325573176145554,0.00013586280692834407,145.5829507430317,1.0,1.0,269.953125,0.0,0.0,1.5454576760530472,145.5829507430317
large-fft-a,large,fullft,a,21,0.9828125,0.11770197749137878,0.0009530188399367034,141.45245577790774,0.984375,0.984375,289.8125,0.0,2864.0,1.5106591370422393,141.45245577790774
large-fft-a,large,fullft,a,22,0.9984375,0.12618684768676758,0.00023431744193658233,145.0766538910102,0.984375,1.0,281.171875,0.0,314.0,1.5017756029265001,145.0766538910102
large-fft-a,large,fullft,a,23,0.8609375,0.1568623185157776,0.000511129095684737,121.11648701899685,0.859375,0.875,314.96875,0.125,226.0,1.4665313239675015,121.11648701899685
large-fft-a,large,fullft,a,24,0.86875,0.11273515969514847,0.00036295424797572196,146.58932733000256,0.9375,0.875,297.8125,0.0,288.0,1.4300261180615053,146.58932733000256
large-fft-a,large,fullft,a,25,1.0,0.1055942177772522,0.00046019948786124587,142.5603089479264,1.0,1.0,251.296875,0.0,0.0,1.3676908049965277,142.5603089479264
large-fft-a,large,fullft,a,26,1.0,0.12657113373279572,0.00041802041232585907,134.93324568506796,1.0,1.0,257.0,0.0,0.0,1.3172694699605927,134.93324568506796
large-fft-a,large,fullft,a,27,1.0,0.10110903531312943,0.0004238846304360777,142.85476598097011,1.0,1.0,227.015625,0.0,0.0,1.2621816110331565,142.85476598097011
