run,group,config,replicate,step,density_pct,changed_elements,total_elements,layers
small-fft-a,small,fullft,a,7,3.869,23063658,596049920,255
small-fft-a,small,fullft,a,8,3.575,21308736,596049920,253
small-fft-a,small,fullft,a,9,3.482,20756433,596049920,253
small-fft-a,small,fullft,a,10,3.385,20174849,596049920,251
small-fft-a,small,fullft,a,11,3.27,19489262,596049920,250
small-fft-a,small,fullft,a,12,3.092,18426969,596049920,251
small-fft-a,small,fullft,a,13,3.099,18470539,596049920,251
small-fft-a,small,fullft,a,14,2.872,17120023,596049920,251
small-fft-a,small,fullft,a,15,2.85,16988440,596049920,251
small-fft-a,small,fullft,a,16,2.738,16319296,596049920,251
small-fft-a,small,fullft,a,17,2.643,15752242,596049920,249
small-fft-a,small,fullft,a,18,2.599,15489736,596049920,247
small-fft-a,small,fullft,a,19,2.601,15505050,596049920,246
small-fft-a,small,fullft,a,20,2.602,15511763,596049920,249
small-fft-a,small,fullft,a,21,2.485,14811680,596049920,246
small-fft-a,small,fullft,a,22,2.421,14432371,596049920,244
small-fft-a,small,fullft,a,23,2.374,14147621,596049920,247
small-fft-a,small,fullft,a,24,2.362,14078417,596049920,247
small-fft-a,small,fullft,a,25,2.31,13769450,596049920,245
small-fft-a,small,fullft,a,26,2.307,13747916,596049920,249
small-fft-a,small,fullft,a,27,2.229,13285115,596049920,248
small-fft-a,small,fullft,a,28,2.144,12778265,596049920,247
small-fft-a,small,fullft,a,29,2.165,12907398,596049920,247
small-fft-a,small,fullft,a,30,2.157,12859160,596049920,246
small-fft-a,small,fullft,a,31,2.119,12631308,596049920,247
small-fft-a,small,fullft,a,32,2.149,12807179,596049920,250
small-fft-a,small,fullft,a,33,2.161,12882202,596049920,246
small-fft-a,small,fullft,a,34,2.136,12729059,596049920,245
small-fft-a,small,fullft,a,35,2.158,12862247,596049920,248
small-fft-a,small,fullft,a,36,2.217,13216535,596049920,246
small-fft-a,small,fullft,a,37,2.202,13123613,596049920,246
small-fft-a,small,fullft,a,38,2.202,13125289,596049920,246
small-fft-a,small,fullft,a,39,2.126,12674559,596049920,245
small-fft-a,small,fullft,a,40,2.175,12964330,596049920,246
small-fft-b,small,fullft,b,1,11.836,70545879,596049920,263
small-fft-b,small,fullft,b,2,7.551,45010212,596049920,259
small-fft-b,small,fullft,b,3,6.092,36309923,596049920,256
small-fft-b,small,fullft,b,4,5.24,31235877,596049920,254
small-fft-b,small,fullft,b,5,4.574,27265221,596049920,252
small-fft-b,small,fullft,b,6,4.133,24635914,596049920,253
small-fft-b,small,fullft,b,7,3.902,23257105,596049920,251
small-fft-b,small,fullft,b,8,3.777,22512577,596049920,248
small-fft-b,small,fullft,b,9,3.539,21092792,596049920,249
small-fft-b,small,fullft,b,10,3.389,20201994,596049920,250
small-fft-b,small,fullft,b,11,3.181,18962850,596049920,249
